Address,URL,Employment Type,Compensation,Title,Description
,https://mexicocity.craigslist.org/egr/d/you-couldnt-be-in-better-hands/6771427996.html,contrato,Contact me for more information. Thank you!,You couldn't be in better hands!,"
        
If you want a great massage in Mexico City, let me work on your body and help you feel better and sleep better.

Whether it's in the morning, in the afternoon or in the evening, my hands will give you an unforgettable and soothing experience ... with different techniques throughout the session. Just lie down, close your eyes and enjoy. 

Mexican, male therapist in my 30s ... great personality. I can go to your hotel and/or home.
NO con    "
,https://pv.craigslist.org/egr/d/architect-needed-at-fast-growing-company/6761785855.html,tiempo completo,Competitive Salary,Architect needed at fast growing company,"
        
Architect - must have an Architecture degree from accredited university, know how to create floor plans, be proficient in Auto-cad and Sketchup. Must be bilingual and willing to move to Lo De Marcos. Competitive Salary and bonus structure. We have an amazing team, we have fun, this would be a job you would like. If interested, respond with resume and a cover letter.    "
,https://mexicocity.craigslist.org/egr/d/customer-success-executive/6791607764.html,tiempo completo,Competitive salary,Customer Success Executive,"
        
BIG. OPPORTUNITY. AHEAD.

Take the chance to be part of an ambitious team that causes a great impact on the success of our clients, helping them to achieve their goals and improve their results using Sirena throughout the region!

Sirena develops technology that simplifies sales communications. We help businesses communicate better with their customers in order to improve their sales.

Our goal is to be a leading software company that helps businesses leave an impact on their customers. We have the support of the main investor groups in the region (including Mercado Libre). Our offices are located in Buenos Aires, Brazil (São Paulo) and Mexico (CDMX). And this is just the beginning!

We are recruiting a Costumer Success Executive for our Costumer Success team in the Northen Cone region. (""Dolphins"", as we say at Sirena 🐬)

What will a CSE do?

Develop customer retention strategies and manage the expansion of your user base.
Help your clients to be successful! Making the most out of our tool and guiding them in the use of new features.
Lead the correct implementation and on-boarding of Sirena in new accounts. The first 3 months will guide your clients remotely in the implementation process through calls, video calls and smoke signals if necessary, transmitting a positive and professional image.
Evaluate customer satisfaction and commitment, detecting and preventing problems. You will make proactive contacts to your client portfolio based on indicators and alerts tied to your success.
Collaborate in the creation and development of documents and explanations that allow clients to resolve their doubts faster or improve their user experience.
REQUIREMENTS
At least 2 years proven experience as an Account Executive or Customer Success Executive.
Bachelor degree (or soon to have) in careers such as Administration, Engineering, Marketing or alike.
Team player and client oriented.
Basic SQL knowledge. (excluding)
Advanced Excel skills.
Intermediate to advanced level of english.
Good writing Spanish skills.
Full-time, on-site availability to work in Roma Norte, CDMX.
Proactivity and curiosity. We'd like you to be passionate about things working properly.
Live in CDMX or surroundings.
BENEFITS
Competitive salary.
Commission plan according to your portfolio management (client retention and growth)
Growth possibilities
Amazing environment, work with A players.
English lessons
Medical Insurance
Trainings and learning environments    "
,https://mexicocity.craigslist.org/egr/d/busco-ingeniero-hidraulico/6769192815.html,,Los proyectos se pagan en base a cada contrato administrado.,Busco Ingeniero Hidraulico,"
        
Una empresa que construye e instala sistemas hidráulicos que tratan y capturan aguas pluviales busca ingenieros hidráulicos experimentados que puedan diseñar e implementar proyectos para la industria y la construcción.    "
,https://pv.craigslist.org/egr/d/mechanical-engineer-designer/6765797252.html,tiempo completo,To be determined in the interview,Mechanical Engineer/Designer,"
        
We're currently looking for outstanding and bilingual Mechanical Engineers and Designers with Revit MEP and AutoCAD design experience. Candidates will work with engineers and project managers to design projects throughout the United States and various locations around the world for a diversity of project types including Higher Education, Government, Hospitality, Healthcare, K-12, Heavy Industry, Office Space, and Houses of Worship in our offices in Puerto Vallarta, Jalisco.
As one of the fastest growing tech companies based out of Utah, we have over 2,000 employees serving more than a million customers per month, worldwide. Our goal is to help our clients reach their goals with intelligently designed products that simplify their business processes. Boomsourcing has climbed the ranks and is now recognized as the 54th fastest growing private company in the USA and the 2nd fastest growing company in Utah. We are proud of our employees for creating fantastic client interactions and for establishing BoomSourcing as an employer of choice worldwide.
 
*Reports to: Project manager
Job specifications and knowledge requirements:
Experience in an engineering consulting firm preferred
Design experience with HVAC and plumbing systems
Proven capabilities and expertise in REVIT MEP; family creation, modeling, model setup, AutoCad
Familiar with international codes; IBC, IMC, IPC, UPC, etc.
Expertise in Microsoft Office Suite software
English proficiency (70% minimum)
Goal oriented/results driven with constant variations in priority and tasks
Ability to work an atypical schedule
Ability to work independently
Willing to work overtime as required to complete project deadlines
Engineering degree or equivalent experience
Strong communication skills
Ability to perform with minimal supervision

Responsibilities and Duties: 

Analyze problems to see how mechanical and thermal devices might help solve the problem.
Design or redesign mechanical and thermal devices using analysis and computer-aided design.
Develop and test prototypes of devices they design.
Analyze the test results and change the design as needed.
Oversee the manufacturing process for the device.
Provide efficient results within the established deadline. 

Benefits: 

Above the market's average base salary 
Law Benefits (Health Insurance, Paid Vacation, Christmas Bonus, Vacation Bonus)
Growth opportunities 
Paid training 
An excellent and friendly work environment
    "
Address,Compensation,Employment Type,URL,Title,Description
,To be determined in the interview,tiempo completo,https://pv.craigslist.org/egr/d/mechanical-engineer-designer/6765797252.html,Mechanical Engineer/Designer,"
        
We're currently looking for outstanding and bilingual Mechanical Engineers and Designers with Revit MEP and AutoCAD design experience. Candidates will work with engineers and project managers to design projects throughout the United States and various locations around the world for a diversity of project types including Higher Education, Government, Hospitality, Healthcare, K-12, Heavy Industry, Office Space, and Houses of Worship in our offices in Puerto Vallarta, Jalisco.
As one of the fastest growing tech companies based out of Utah, we have over 2,000 employees serving more than a million customers per month, worldwide. Our goal is to help our clients reach their goals with intelligently designed products that simplify their business processes. Boomsourcing has climbed the ranks and is now recognized as the 54th fastest growing private company in the USA and the 2nd fastest growing company in Utah. We are proud of our employees for creating fantastic client interactions and for establishing BoomSourcing as an employer of choice worldwide.
 
*Reports to: Project manager
Job specifications and knowledge requirements:
Experience in an engineering consulting firm preferred
Design experience with HVAC and plumbing systems
Proven capabilities and expertise in REVIT MEP; family creation, modeling, model setup, AutoCad
Familiar with international codes; IBC, IMC, IPC, UPC, etc.
Expertise in Microsoft Office Suite software
English proficiency (70% minimum)
Goal oriented/results driven with constant variations in priority and tasks
Ability to work an atypical schedule
Ability to work independently
Willing to work overtime as required to complete project deadlines
Engineering degree or equivalent experience
Strong communication skills
Ability to perform with minimal supervision

Responsibilities and Duties: 

Analyze problems to see how mechanical and thermal devices might help solve the problem.
Design or redesign mechanical and thermal devices using analysis and computer-aided design.
Develop and test prototypes of devices they design.
Analyze the test results and change the design as needed.
Oversee the manufacturing process for the device.
Provide efficient results within the established deadline. 

Benefits: 

Above the market's average base salary 
Law Benefits (Health Insurance, Paid Vacation, Christmas Bonus, Vacation Bonus)
Growth opportunities 
Paid training 
An excellent and friendly work environment
    "
,Los proyectos se pagan en base a cada contrato administrado.,,https://mexicocity.craigslist.org/egr/d/busco-ingeniero-hidraulico/6769192815.html,Busco Ingeniero Hidraulico,"
        
Una empresa que construye e instala sistemas hidráulicos que tratan y capturan aguas pluviales busca ingenieros hidráulicos experimentados que puedan diseñar e implementar proyectos para la industria y la construcción.    "
,Competitive Salary,tiempo completo,https://pv.craigslist.org/egr/d/architect-needed-at-fast-growing-company/6761785855.html,Architect needed at fast growing company,"
        
Architect - must have an Architecture degree from accredited university, know how to create floor plans, be proficient in Auto-cad and Sketchup. Must be bilingual and willing to move to Lo De Marcos. Competitive Salary and bonus structure. We have an amazing team, we have fun, this would be a job you would like. If interested, respond with resume and a cover letter.    "
,Contact me for more information. Thank you!,contrato,https://mexicocity.craigslist.org/egr/d/you-couldnt-be-in-better-hands/6771427996.html,You couldn't be in better hands!,"
        
If you want a great massage in Mexico City, let me work on your body and help you feel better and sleep better.

Whether it's in the morning, in the afternoon or in the evening, my hands will give you an unforgettable and soothing experience ... with different techniques throughout the session. Just lie down, close your eyes and enjoy. 

Mexican, male therapist in my 30s ... great personality. I can go to your hotel and/or home.
NO con    "
